ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match
1495,sick,dev,A man is playing a guitar,A man is strumming a guitar,entailment,2,FALSE,,"(play, strum)",,NO_RELATION,"(play, strum)",,FALSE,TRUE,,,FALSE
1497,sick,test,A man is strumming a guitar,A man is playing guitar,entailment,3,TRUE,,,"(strum, play)","(strum, play)","(strum, play)",,,,TRUE,TRUE,TRUE
1584,sick,dev,A hole is being burrowed by the badger,A badger is shrewdly digging the earth,entailment,2,FALSE,,"(burrow, dig); (hole, earth)","(burrow, dig)","(burrow, dig)",,FALSE,FALSE,,TRUE,,
158827073.jpg#2r1e,snli,dev,Young girl playing with chocolate milk powder.,There is a girl playing with food,entailment,2,TRUE,,"(chocolate milk powder, food)","(chocolate milk powder, food)","(chocolate milk powder, food)",,TRUE,TRUE,,TRUE,,
1792,sick,train,A lion is slowly walking,A lion is slowly moving around,entailment,2,FALSE,,"(walk, move around)","(walk, move)",,"(walk, move around)",FALSE,,TRUE,,FALSE,
1796608106.jpg#4r1e,snli,dev,A woman building herself a sand castle.,a women is making a sand castle,entailment,2,TRUE,,"(build, make)","(build, make)","(build, make)",,TRUE,TRUE,,TRUE,,
2021602343.jpg#2r1e,snli,dev,A boy with a basketballs glowers at the camera.,The boy scowls,entailment,2,TRUE,,"(glower, scowl)","(glower, scowl)","(glower, scowl)",,TRUE,TRUE,,TRUE,,
207584893.jpg#3r1e,snli,train,Hang glider on beach,air sport on beach,entailment,2,TRUE,,"(hang glider, air sport)","(hang glider, air sport)",,"(hang glider, air sport)",FALSE,,TRUE,,FALSE,
2079152458.jpg#0r1e,snli,dev,"A golden-colored dog, with his eyes alert, holds a brightly colored tennis ball in his mouth.",The dog is light colored,entailment,2,FALSE,,"(golden, light)","(golden-colored, light colored)",,"(golden-colored, light colored)",FALSE,,FALSE,,FALSE,
2095711097.jpg#1r1e,snli,train,Construction masons at work laying concrete blocks on a multistory building.,Concrete work is being done on a multistory building,entailment,2,FALSE,,"(block, work)",,NO_RELATION,NO_RELATION,,FALSE,FALSE,,,TRUE
2109479807.jpg#0r1e,snli,dev,Four females wearing helments are riding on an ATV.,Four women are driving an all terrain vehicle.,entailment,3,FALSE,,,,"(atv, all terrain vehicle); (female, woman); (ride, drive)","(atv, all terrain vehicle); (female, woman)",,,,FALSE,FALSE,FALSE
211,sick,dev,Two dogs are playing by a tree,Two dogs are playing by a plant,entailment,2,TRUE,,"(tree, plant)","(tree, plant)",,"(tree, plant)",TRUE,,TRUE,,TRUE,
2137789511.jpg#1r1e,snli,dev,A person rides his bicycle in the sand beside the ocean.,A person is on a beach.,entailment,2,FALSE,,"(sand, beach)",NO_RELATION,,NO_RELATION,FALSE,,FALSE,,FALSE,
2195887578.jpg#2r1e,snli,test,"Two men in suits standing in front of a bus, one is wearing a medal.",Two men are standing in front of a large vehicle.,entailment,2,TRUE,,"(bus, large vehicle)","(bus, large vehicle)","(bus, large vehicle)",,TRUE,TRUE,,TRUE,,
2201978994.jpg#1r1e,snli,dev,Two kids in winter clothing play near a lakefront.,kids playing near a lake,entailment,2,FALSE,,"(lakefront, lake)",,NO_RELATION,"(lakefront, lake)",,FALSE,TRUE,,,FALSE
2208055895.jpg#4r1e,snli,dev,Child inside of large snow fort.,A child within a snowy structure.,entailment,3,FALSE,"(snow fort, snowy structure); (inside, within)",,"(snow fort, snowy structure)","(snow fort, snowy structure)","(fort, structure); (inside, within)",,,,TRUE,FALSE,FALSE
2217728745.jpg#4r1e,snli,train,A man in a bar.,A guy in a bar.,entailment,2,TRUE,,"(man, guy)","(man, guy)",,"(man, guy)",FALSE,,TRUE,,FALSE,
2218743570.jpg#4r1n,snli,dev,A husky and a black cat nuzzling.,A dog and cat are friendly.,entailment,2,FALSE,,"(husky, dog); (nuzzling, friendly)","(husky, dog)",,"(husky, dog)",FALSE,,FALSE,,TRUE,
2232255534.jpg#0r1e,snli,dev,A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car.,a man in jogging pants checks his device,entailment,3,FALSE,"(slacks, pants)",,"(jogging slack, jogging pant)","(mobile devise, device); (slacks, pants)","(devise, device); (slacks, pants)",,,,FALSE,FALSE,FALSE
2237364221.jpg#3r1e,snli,dev,A man tries to get himself into shape on a treadmill.,A man exercising.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,FALSE,,,FALSE
2255375425.jpg#2r1e,snli,dev,A man is sitting in on the side of the street with brass pots.,A man is sitting.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
2275372714.jpg#3r1e,snli,dev,The kids watched as the soda bottle launched into the air.,There is a soda bottle flying.,entailment,2,FALSE,,"(launch, fly)",NO_RELATION,,NO_RELATION,FALSE,,FALSE,,TRUE,
2276230068.jpg#4r1e,snli,dev,A baby with star shades on.,A baby wearing glasses.,entailment,3,FALSE,,,NO_RELATION,"(star shades, glasses)","(shades, glasses)",,,,FALSE,FALSE,FALSE
2279906281.jpg#1r1e,snli,dev,A shirtless man is being filmed in the middle of a soccer field.,A topless male is being recorded on a sports field.,entailment,2,FALSE,,"(film, record); (man, male); (shirtless, topless); (soccer, sport)","(film, record); (topless, shirtless); (man, male); (soccer field, sports field)",,"(film, record); (man, male); (shirtless, topless); (soccer field, sports field)",FALSE,,FALSE,,FALSE,
2281,sick,train,A dog is opening a can of food,A dog is biting a can,entailment,2,FALSE,,"(open, bite)",,NO_RELATION,NO_RELATION,,FALSE,FALSE,,,TRUE
228280436.jpg#1r1e,snli,test,A group of people are buying fruits and vegetables from a stand located in a street market.,The stand selling produce is in a street market.,entailment,2,FALSE,,NO_RELATION,,"(fruit, produce); (vegetable, produce)","(fruits and vegetables, produce)",,FALSE,FALSE,,,FALSE
23012662.jpg#4r1e,snli,dev,Blond tennis player pauses to view the crowd.,A tennis player is looking at the crowd.,entailment,2,FALSE,,"(view, look at)",,"(view, look at)","(view, look)",,FALSE,FALSE,,,FALSE
2343145630.jpg#0r4e,snli,train,"A black singer with short, spiked hair plays guitar and sings, while a bassist plays behind him.",A person with pointy hair is singing while another person playing an instrument is in back of him.,entailment,3,FALSE,,,"(bassist, person); (spiked, pointy)","(bassist, person); (singer, person); (spiked, pointy)","(singer, person); (spiked, pointy); (bassist, person)",,,,FALSE,FALSE,FALSE
2367387854.jpg#1r1e,snli,dev,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A woman is speaking into a device.,entailment,2,TRUE,,"(microphone, device); (talk, speak)","(microphone, device); (talk, speak)",,"(microphone, device); (talk, speak)",FALSE,,TRUE,,FALSE,
237424188.jpg#0r1e,snli,dev,"A girl wearing a red shirt and jeans is sitting in a rocking chair at a cluttered desk, while another girl wearing a black t-shirt and jogging pants is sitting on the floor writing on a piece of paper with other papers arranged around her.",two girls in a room,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE
2384728877.jpg#0r1e,snli,dev,The woman is holding the hand of the little girl in the red dress with the polka-dotted skirt.,A little girl wearing a red dress holds a woman's hand.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE
2393059551.jpg#1r1e,snli,dev,Two people work construction on the inside of a house.,Two people work inside.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
2405,sick,dev,The lady is slicing a tomato,Someone is cutting a tomato,entailment,3,TRUE,,,"(lady, someone); (slice, cut)","(lady, someone); (slice, cut)","(lady, someone); (slice, cut)",,,,TRUE,TRUE,TRUE
241345721.jpg#4r1e,snli,dev,Men playing football.,Some men are playing a game.,entailment,2,TRUE,,"(football, game)","(football, game)","(football, game)",,TRUE,TRUE,,TRUE,,
241346508.jpg#0r1e,snli,dev,"Three Oklahoma Sooners playing football against another team, one of the sooners with the ball in their possession.",College football players are playing a football game.,entailment,2,FALSE,,"(sooner, player)",,"(football, football game); (oklahoma sooners, college football player)","(oklahoma sooner, college football player)",,FALSE,FALSE,,,FALSE
2421824693.jpg#3r1e,snli,dev,A man is standing on a rooftop looking at his camera.,A man is on the roof with a camera.,entailment,3,TRUE,,,"(rooftop, roof)","(rooftop, roof)","(rooftop, roof)",,,,FALSE,FALSE,TRUE
2518094853.jpg#3r1e,snli,dev,A brown dog runs through a field.,A brown dog running outside.,entailment,2,FALSE,,"(field, outside)",,NO_RELATION,"(field, outside)",,FALSE,TRUE,,,FALSE
2521878609.jpg#4r1e,snli,train,kid eating pasta,The kid is human.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
2529017800.jpg#1r1e,snli,dev,"3 people, one man playing a guitar while sitting on the floor and two people playing a game on a sofa.",Several people are gathered inside.,entailment,2,FALSE,"(three, several)",NO_RELATION,,"(3, several)","(3, several)",,FALSE,FALSE,,,TRUE
2533414541.jpg#3r1e,snli,dev,A white and blue car is on the street.,A vehicle is on the street.,entailment,2,TRUE,,"(car, vehicle)","(car, vehicle)","(car, vehicle)",,TRUE,TRUE,,TRUE,,
2543017787.jpg#4r1e,snli,train,A child rides a swing.,A kid is playing,entailment,2,TRUE,,"(child, kid)","(child, kid)",,"(child, kid)",FALSE,,FALSE,,TRUE,
255091927.jpg#4r1e,snli,dev,People laying in massage chairs,People relaxing in charis.,entailment,3,FALSE,,,NO_RELATION,"(chair, chari)","(chairs, charis)",,,,FALSE,FALSE,FALSE
2557,sick,dev,Someone is strumming the guitar,Someone is playing the guitar,entailment,2,TRUE,,"(strum, play)","(strum, play)","(strum, play)",,TRUE,TRUE,,TRUE,,
2565685680.jpg#0r1e,snli,train,An animal with black fur splashing about in relatively deep water.,The dark animal is playing in the water.,entailment,2,FALSE,,"(black, dark); (splash, play)",,"(black, dark); (splash about, play)","(black, dark); (splash about, play)",,FALSE,FALSE,,,FALSE
2573969957.jpg#1r1e,snli,dev,Two men in uniform hold up sign with young children.,Two men are holding up something with young kids.,entailment,2,FALSE,,"(sign, something); (child, kid)","(child, kid)","(child, kid); (sign, something)",,FALSE,FALSE,,FALSE,,
2602415701.jpg#0r1e,snli,dev,Five young boys in swim trunks jump into a swimming pool at the same time.,Kids leaping into a swimming pool,entailment,2,FALSE,,"(boy, kid); (jump, leap)","(jump, leap); (young boy, kid)","(jump, leap); (young boy, kid)",,FALSE,FALSE,,FALSE,,
261626276.jpg#0r1e,snli,dev,A young man with blond dreadlocks sits on a wall reading a newspaper as a woman and a young girl pass by.,A young male is looking at a newspaper while 2 females walks past him.,entailment,2,FALSE,,"(girl, female); (read, look); (woman, female); (man, male); (walk past, pass by)",,"(girl, female); (man, male); (read, look at); (walk past, pass by); (woman, female)","(girl, female); (man, male); (read, look at); (walk past, pass by); (woman, female)",,FALSE,FALSE,,,FALSE
2618866067.jpg#4r1e,snli,train,A gray dog is yawning.,A dog is tired.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE
2647049174.jpg#4r1e,snli,train,A toddler eats dirt.,A baby is eating dirt.,entailment,2,TRUE,,"(toddler, baby)","(toddler, baby)","(toddler, baby)",,FALSE,TRUE,,FALSE,,
2665904080.jpg#1r1e,snli,dev,A young puppy suckles from his mother.,A young puppy lays at it's mothers stomach.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
2671880562.jpg#3r1e,snli,dev,A man in a staff shirt break-dancing.,A man is moving around.,entailment,2,FALSE,,"(dance, move around)","(break-dancing, move around)","(break-dance, move around)",,FALSE,FALSE,,FALSE,,
2680990587.jpg#3r1e,snli,train,One boy is pushing another boy on a swing.,One human pushing another.,entailment,2,TRUE,,"(boy, human)","(boy, human)",,"(boy, human)",TRUE,,TRUE,,TRUE,
2709648336.jpg#0r1e,snli,dev,A large brown and black dog jumps in the air holding a white Frisbee in its mouth.,An animal moving vertically and gripping a toy with its teeth.,entailment,2,FALSE,,"(dog, animal); (hold, grip); (jump, move); (frisbee, toy)",,"(dog, animal); (frisbee, toy); (hold, grip); (jump, move vertically)","(dog, animal); (frisbee, toy); (hold, grip); (jump, move vertically)",,FALSE,FALSE,,,FALSE
2714703706.jpg#0r1e,snli,dev,The brown dog has a hold of the other dogs cheek with its teeth.,The dog grabbed the other dog with his teeth.,entailment,2,FALSE,,"(dogs cheek, dog); (hold, grab)",,NO_RELATION,"(hold, grab)",,FALSE,FALSE,,,FALSE
2723024306.jpg#3r1e,snli,dev,Man builds detailed sand castle on the beach.,An adult is working with sand.,entailment,3,FALSE,,,"(man, adult)","(build, work); (man, adult)","(man, adult)",,,,FALSE,TRUE,FALSE
2726887594.jpg#4r1e,snli,dev,A man in a blue polo raises his wineglass to toast.,A man holds a wineglass.,entailment,3,FALSE,,"(raise, hold)",NO_RELATION,"(raise, hold)",NO_RELATION,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
273699639.jpg#4r1e,snli,dev,A woman sitting with two men hugging.,A group of people are sitting together.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
2741990005.jpg#4r1e,snli,train,A man vaults over a high bar.,A man jumps.,entailment,2,TRUE,,"(vault, jump)","(vault, jump)",,"(vault, jump)",TRUE,,TRUE,,TRUE,
2744856447.jpg#3r1e,snli,dev,An Asian young man is drinking out of a metal cup.,The young man is drinking a liquid.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE
2760560588.jpg#3r1e,snli,dev,A person in a blue plaid shirt is writing on a chalkboard.,The person is writing on the chalk board.,entailment,2,TRUE,,"(chalkboard, chalk board)","(chalkboard, chalk board)",,"(chalkboard, chalk board)",FALSE,,FALSE,,TRUE,
2795,sick,dev,A small guinea pig is gnawing and eating a piece of carrot on the floor,A guinea pig is devouring a carrot,entailment,2,FALSE,,"(eat, devour); (gnaw, devour)","(eat, devour)",,"(eat, devour)",FALSE,,FALSE,,FALSE,
2802158972.jpg#1r1e,snli,train,"Eight men play instruments on stage, with a guitarist highlighted in lights.",people play music,entailment,2,FALSE,"(instrument, music); (man, person)","(instrument, music); (men, people)",,NO_RELATION,"(instrument, music)",,FALSE,FALSE,,,FALSE
2809,sick,train,A cartoon airplane is landing,An animated airplane is landing,entailment,2,TRUE,,"(cartoon, animated)",,"(cartoon, animated)","(cartoon, animated)",,TRUE,TRUE,,,TRUE
281271503.jpg#4r1e,snli,test,A man in a bright yellow shirt juggles while riding a unicycle.,Man performs a juggling act on a unicycle.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,FALSE,FALSE,TRUE
2829,sick,dev,The lady is penciling on eyeshadow,The woman is penciling on eyeshadow,entailment,3,TRUE,,,"(lady, woman)","(lady, woman)","(lady, woman)",,,,TRUE,TRUE,TRUE
2843629756.jpg#0r1e,snli,test,A man wearing shorts and a blue t-shirt is applying signage to the display window of an ice cream shop.,A man is putting a sign in the window.,entailment,2,FALSE,,"(apply, put); (signage, sign)","(signage, sign)","(apply, put); (signage, sign)",,FALSE,TRUE,,FALSE,,
2853682342.jpg#1r1e,snli,dev,"A man in a blue shirt, jumping down a hill in a park.",a man is wearing blue,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
2864340145.jpg#2r1e,snli,dev,A black dog walking through water.,The water has a black dog walking through it.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
288406480.jpg#0r1e,snli,dev,A baby wearing yellow is pretending to be a doctor while inside a stroller.,A baby is role playing as a professional,entailment,3,TRUE,,,"(pretend, role play); (doctor, professional)","(doctor, professional); (pretend, role play)","(doctor, professional); (pretend, role play)",,,,FALSE,FALSE,TRUE
2898,sick,dev,The man is lifting barbells,The man is lifting weights,entailment,2,TRUE,,"(barbell, weight)","(barbell, weight)","(barbell, weight)",,TRUE,TRUE,,TRUE,,
2971285079.jpg#2r1e,snli,dev,A girl wearing makeup playing a bass.,A girl is musical.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
303607405.jpg#4r3e,snli,train,a dog shakes dry.,A dog is wet.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
3036894037.jpg#1r1e,snli,dev,Two commandos with gun by a staircase and an old man holding a hat is sitting on the stairs.,Two soldiers carry weapons.,entailment,2,TRUE,,"(commando, soldier); (gun, weapon)","(commando, soldier); (gun, weapon)","(commando, soldier); (gun, weapon)",,TRUE,TRUE,,TRUE,,
3040999637.jpg#4r1e,snli,dev,A man uses stereo equipment.,A man is using some audio equipment.,entailment,3,TRUE,,,"(stereo equipment, audio equipment)","(stereo equipment, audio equipment)","(stereo equipment, audio equipment)",,,,TRUE,TRUE,TRUE
3046190891.jpg#2r1e,snli,test,A surfer is performing a jumping stunt in the ocean.,A person in the water.,entailment,2,TRUE,,"(ocean, water); (surfer, person)",,"(ocean, water); (surfer, person)","(ocean, water); (surfer, person)",,TRUE,TRUE,,,TRUE
3047788420.jpg#0r1e,snli,dev,A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,A person sitting,entailment,2,TRUE,,"(lady, person)","(lady, person)","(lady, person)",,TRUE,TRUE,,TRUE,,
3054989420.jpg#0r1e,snli,dev,Two children throw dead leaves into the air around them.,The children are outside.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
3064443326.jpg#2r1e,snli,dev,Riot police are standing in the background while a young man with a red scarf covering his face is walking.,there are police,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
3072611047.jpg#1r1e,snli,dev,Two children are diving side by side into a river.,Two humans are about to enter a river.,entailment,2,FALSE,,"(child, human); (dive into, enter)",,"(child, human)","(child, human)",,FALSE,FALSE,,,TRUE
3091403322.jpg#2r1e,snli,dev,A man wearing a white shirt is playing the drums.,A man is playing a musical instrument.,entailment,2,TRUE,,"(drum, musical instrument)","(drum, musical instrument)",,"(drum, musical instrument)",TRUE,,FALSE,,FALSE,
3091921457.jpg#2r1e,snli,dev,Several children are standing in a house looking out the window.,kids stare out the window,entailment,2,FALSE,,"(child, kid); (look, stare)","(child, kid); (look, stare)","(child, kid); (look out, stare out)",,FALSE,FALSE,,FALSE,,
3101378069.jpg#4r1e,snli,dev,A lady rows a canoe filled with things.,A woman rows a small boat loaded with items.,entailment,3,TRUE,,,"(canoe, small boat); (lady, woman); (filled, loaded); (thing, item)","(canoe, small boat); (filled, loaded); (lady, woman); (thing, item)","(canoe, small boat); (lady, woman); (thing, item); (filled, loaded)",,,,FALSE,FALSE,FALSE
3106022785.jpg#0r1e,snli,dev,"A woman dressed as Dorthy from the Wizard of Oz smiling at a baby, standing above her on a table, dressed as an elephant.",Somebody who is depicted is wearing a costume from a movie.,entailment,2,FALSE,,"(dressed, depicted); (woman, somebody)",NO_RELATION,,"(woman, somebody)",FALSE,,FALSE,,FALSE,
311,sick,train,A group of people is near the ocean,A crowd of people is near the water,entailment,3,FALSE,,,"(group, crowd); (ocean, water)","(group, crowd); (ocean, water)","(ocean, water)",,,,TRUE,FALSE,FALSE
3115354165.jpg#4r1e,snli,dev,a skateboarder ollies.,Someone is on a board with four wheels.,entailment,3,TRUE,,,"(skateboarder, someone)","(skateboarder, someone)","(skateboarder, someone)",,,,FALSE,FALSE,TRUE
3122,sick,dev,A woman is using a pencil for eyes and is applying eye liner to her eyelid,A woman is applying cosmetics to her eyelid,entailment,2,FALSE,,"(eye liner, cosmetic); (use, apply)","(eye liner, cosmetic)",,"(eye liner, cosmetic)",FALSE,,FALSE,,TRUE,
312691128.jpg#1r1e,snli,dev,A man in hat and apron flipping over his pancake by tossing it in the air back to the pan.,The male is cooking food.,entailment,2,FALSE,,"(flip, cook); (pancake, food); (man, male)","(man, male); (pancake, food)",,"(man, male); (pancake, food)",FALSE,,FALSE,,TRUE,
3134092148.jpg#3r2e,snli,train,A man surfing a wave.,A man catches a wave.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,FALSE,FALSE
3168293517.jpg#2r1e,snli,dev,A little boy in a blue shirt holding a toy.,Boy dressed in blue holds a toy.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
3181701312.jpg#2r1e,snli,dev,A man takes a nap on the sidewalk in a busy city.,Someone is asleep on a sidewalk.,entailment,3,FALSE,,,NO_RELATION,"(man, someone)","(man, someone)",,,,FALSE,FALSE,TRUE
3182517887.jpg#1r1e,snli,dev,A man with a tattoo is wearing sunglasses while holding a small boy.,There is a man with body art who is holding a young person.,entailment,2,FALSE,,"(boy, person); (small, young); (tattoo, body art)",,"(small boy, young person); (tattoo, body art)","(small boy, young person); (tattoo, body art)",,FALSE,FALSE,,,TRUE
320199844.jpg#0r1e,snli,dev,A man in a Santa Claus costume is sitting on a wooden chair holding a microphone and a stringed instrument.,The man is wearing a costume.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE
3208032657.jpg#2r1e,snli,dev,A person powerwashing stairs leading down to a pool.,a person washes stairs,entailment,2,TRUE,,"(powerwash, wash)","(powerwash, wash)","(powerwash, wash)",,TRUE,TRUE,,TRUE,,
3228793611.jpg#4r1e,snli,train,Dog digs in sand,A dog is playing,entailment,2,FALSE,,"(dig, play)",NO_RELATION,,NO_RELATION,FALSE,,FALSE,,TRUE,
3232994074.jpg#4r1e,snli,dev,A man and child working on a puzzle.,An adult and a kid are engaged in an activity.,entailment,3,TRUE,,,"(child, kid); (man, adult)","(child, kid); (man, adult)","(man, adult); (child, kid)",,,,FALSE,FALSE,FALSE
3246724744.jpg#0r1e,snli,dev,A young woman wearing a black shirt and black shorts jumps in the air at the beach.,A women in black at the beach.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
3250,sick,dev,A woman is placing two eggs into a pot of water,A woman is putting two eggs into a pot of water,entailment,2,TRUE,,"(place, put)",,"(place, put)","(place, put)",,TRUE,TRUE,,,TRUE
3256433677.jpg#2r1n,snli,dev,"A woman, in a green shirt, preparing to run on a treadmill.",A woman is getting a workout.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE
326456451.jpg#4r1e,snli,train,A rottweiler running.,An animal is running.,entailment,2,TRUE,,"(rottweiler, animal)",,"(rottweiler, animal)","(rottweiler, animal)",,TRUE,TRUE,,,TRUE
3375549004.jpg#4r1e,snli,dev,Men walk in line carrying things.,"While carrying their load, the men walked one behind the other.",entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,FALSE,,FALSE,
3383037991.jpg#3r1e,snli,dev,A dog looks content sitting on a bed after ripping up some paper,a dog sitting on a bed after ripping up paper.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
342289865.jpg#1r1e,snli,dev,Man in brown and red checkered button up shirt and blue jeans makes a male and female laugh.,A person in casual clothing is causing two others to be merry.,entailment,2,FALSE,"(jeans, casual clothing); (button up shirt, casual clothing); (man, person)","(laugh, merry); (man, person); (shirt, casual clothing); (jeans, casual clothing)","(laugh, be merry); (man, person); (shirt, casual clothing); (jeans, casual clothing)","(blue jeans, casual clothing); (checkered button up shirt, casual clothing); (man, person)",,FALSE,FALSE,,FALSE,,
3424908564.jpg#1r1e,snli,dev,A woman with red-hair and wearing a black tank top and short jeans shorts appears to be yelling.,A woman with red-hair screams.,entailment,3,TRUE,,,"(yell, scream)","(yell, scream)","(yell, scream)",,,,TRUE,TRUE,TRUE
3426144752.jpg#0r1e,snli,dev,The blond-haired and blue eyed child holds the wooden airplane in his hands.,A child is playing with a toy airplane.,entailment,2,FALSE,,NO_RELATION,,"(wooden airplane, toy airplane)",NO_RELATION,,FALSE,TRUE,,,FALSE
3426724811.jpg#4r1e,snli,dev,Several men in protective suits are rolling a man on a gurnee.,A man is on a gurney,entailment,3,FALSE,"(gurney, gurnee)",,NO_RELATION,"(gurnee, gurney)","(gurnee, gurney)",,,,FALSE,FALSE,TRUE
3432730942.jpg#0r1e,snli,dev,Two people look at two red motorcycles in a place where there are religious murals on the wall.,The two people are looking at motorcycles.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
3440104178.jpg#4r1e,snli,dev,A dog with big ears holds a ball in his mouth.,The dog has big ears.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
