problem_id,premise,hypothesis,gold_label,1>WN,A>WN,A>1,WN1>WN,AWN>WN,AWN>WN1
1107246521.jpg#1r1e,A large black dog is playing in a grassy yard.,A dog is large,entailment,0,0,0,0,0,0
111285749.jpg#0r5e,"Five men, one wearing a white shirt standing on something, hanging up a picture of a child.",A man is hanging a picture of a child.,entailment,0,0,0,0,0,0
1130401779.jpg#3r1e,Two dogs splash through the water.,Two dogs play in the water.,entailment,0,0,0,0,0,0
11337976.jpg#0r1e,A shirtless man with sunglasses and a helmet is riding a motorcycle next to traffic cones.,A man is riding a motorcycle.,entailment,0,0,0,0,0,0
114051287.jpg#0r4e,A boy in a red soccer strip is holding his boots in his hand whilst stepping out of a car.,A boy is stepping out of a car.,entailment,0,0,0,0,0,0
1157855775.jpg#3r3e,Three people walk on grass adjacent to a river.,The water is running adjacent to the walkway.,entailment,0,0,0,0,0,0
1164131282.jpg#2r3e,"two dogs, playing in a field, wrestling with each other",The dogs play outside.,entailment,0,0,0,0,0,0
117919518.jpg#4r1e,People are outside walking.,There are people outdoors.,entailment,0,0,0,0,0,0
118897631.jpg#0r4e,A woman cooks on the stove in her kitchen as her dog begs below.,A woman is cooking dinner.,entailment,0,0,0,0,0,0
118939861.jpg#1r4e,"Two bald men, one sitting at a computer and the other behind him, in front of red window curtains.",A man sits at a computer.,entailment,0,0,0,0,0,0
120542286.jpg#0r3e,Two men stand at a chalkboard that forms part of a stone wall in front of a number of tables and chairs of which only a few are occupied.,The men are in front of people.,entailment,0,0,0,0,0,0
1207159468.jpg#3r1e,A boy and a person suspended above a dome structure.,The boy is above a building.,entailment,1,1,0,1,1,0
1220027979.jpg#1r2e,Two little boys and a baby girl sit on a striped seat outside.,Three children sit on an outdoor seat.,entailment,0,0,0,0,0,0
122188825.jpg#3r4e,Two construction workers are digging up pavement on a road.,two workers do roadwork,entailment,0,0,0,0,0,0
1235099089.jpg#1r1e,A young lady wearing blue and black is running past an orange cone.,The young lady is running.,entailment,0,0,0,0,0,0
12393802.jpg#0r1e,A man in a green t-shirt and long tan apron hacks apart the carcass of a cow while another man hoses away the blood.,Two men are working.,entailment,0,0,0,0,0,0
1251898514.jpg#4r4e,"Two men, one in yellow, are on a wooden boat.",Two men are on a boat.,entailment,0,0,0,0,0,0
126514207.jpg#1r4e,An inflatable rock climbing obstacle is scaled by a person wearing a white helmet.,A person is standing next to the inflatable rock.,entailment,0,0,0,0,0,0
1265501253.jpg#2r1e,A woman on a subway is falling asleep.,An exhausted woman on public transportation is trying to stay awake.,entailment,0,0,0,0,0,0
1269021329.jpg#0r2e,"A woman works on a piece of computer equipment, while surrounded by a variety of mechanical and computer equipment, in what appears to be some type of laboratory workroom.",A woman works in a laboratory workroom.,entailment,0,0,0,0,0,0
1271579512.jpg#0r1e,A casually dressed man has several flutes into which he is pouring champagne.,A clothed human with a liquid.,entailment,0,0,0,0,0,0
1277185009.jpg#4r2e,A shirtless man with a backpack.,The man doesn't have a shirt on.,entailment,0,0,0,0,0,0
129441311.jpg#1r1e,A woman talks animatedly to her companion next to a body of water.,The woman is neat the water.,entailment,0,0,0,0,0,0
1299459550.jpg#2r5e,"Boy in shorts, face down in shallow, reflective water.",Boy puts his face in water.,entailment,0,0,0,0,0,0
1303335399.jpg#3r1e,A small boy in water wings and a bathing suit slides down a water slide.,A boy in water wings goes down a water slide,entailment,0,0,0,0,0,0
1307094208.jpg#1r4e,a man with a shoulder bag walking in the desert on sand with footprints behind him and the horizon with many stormy clouds.,A person with a bag is walking through the desert into a storm.,entailment,0,0,0,0,0,0
1310093059.jpg#1r1e,Young woman in a bikini jumping into a backyard in-ground pool.,A person is outside.,entailment,0,0,0,0,0,0
132056499.jpg#2r1e,A man with a trash bucket walks by a statue.,The man has a trash bucket.,entailment,0,0,0,0,0,0
1322323208.jpg#4r4e,A boy and a girl playing on the beach.,Two children play on the beach.,entailment,0,0,0,0,0,0
132489044.jpg#4r1e,"An asian man in a suit on the subway, asleep.",An asian man is on the subway.,entailment,0,0,0,0,0,0
132935994.jpg#2r4e,A firefighter is standing in his uniform holding a hose.,A fireman holds a hose.,entailment,0,0,0,0,0,0
1333788342.jpg#0r2e,A young dark-haired boy wearing black and white checkered clothing is playing with a yellow toy boat in the shallow waters of a beach.,A young boy playing at the beach.,entailment,0,0,0,0,0,0
1348891916.jpg#1r1e,A tan dog on a leash running in shallow ocean water.,The dog is in the sand.,entailment,0,0,0,0,0,0
1349427689.jpg#3r1e,The child with the pitcher is draining the water out of the boat.,The person with the pitcher is draining the water out of the boat.,entailment,0,0,0,0,0,0
135200870.jpg#2r1e,A sweet young lady deciding whats for breakfast!,a girl making a decision,entailment,0,0,0,0,0,0
1357753846.jpg#1r1e,A black dog is walking through a stream of water.,An animal is walking through water.,entailment,0,0,1,0,0,0
136151338.jpg#0r1e,A young blond-haired girl wearing a YMCA sweater looks into a telescope while another girl with glasses watches her.,a blond in a sweater looks through a telescope,entailment,0,0,0,0,0,0
1364747344.jpg#4r1e,A man fills up his vehicle with gas.,A guy is fueling his vehicle.,entailment,0,0,0,0,0,0
136639119.jpg#4r5e,A person is rock climbing.,The person is getting exercise.,entailment,0,0,0,0,0,0
1367424701.jpg#2r1e,The man is sitting on the seashore as he watches the sunset.,A man is near some water watching the horizon.,entailment,0,0,0,0,0,0
1368320477.jpg#0r2e,"A smiling woman rides the subway while reading a magazine, with a' Bud Light' advertisement behind her.",A beer advertisement is behind the woman reading a magazine while riding on the subway,entailment,0,0,0,0,0,0
137431115.jpg#2r1e,Three women and a man in a hat sitting cross legged in a group.,The people are sitting.,entailment,0,0,0,0,0,0
1383840121.jpg#0r3e,The brown dog is laying down on a blue sheet.,An animal is laying down.,entailment,0,0,0,0,0,0
1383840121.jpg#0r4e,The brown dog is laying down on a blue sheet.,A dog lays on a sheet,entailment,0,0,0,0,0,0
1388346434.jpg#0r5e,"A man, leaning against a concrete wall with his arms resting on top, looks over a balcony.",This man looks out away from this balcony,entailment,0,0,0,0,0,0
1389323170.jpg#1r1e,Woman sitting on a turquoise bench with a pillow and a bag near a restaurant.,Woman is outside on a bench.,entailment,0,0,0,0,0,0
1389323170.jpg#3r1e,A woman sits on a flower pot at a crowded coffee shop.,A woman is waiting for coffee.,entailment,0,0,0,0,0,0
1394319096.jpg#3r1e,The desert onlookers stared at the heart shaped cloud in the clear blue sky.,a group of people looking at sky,entailment,0,0,0,0,0,0
139540338.jpg#0r4e,"Several men dressed in cowboy boots and hats are hanging around, and one man is getting his shoes shined.",A group of men spend time together,entailment,0,0,0,0,0,0
1398606571.jpg#0r4e,"Young girl in pink and green bikini, swimming with a rubber ring.",A young female in pink and green is swimming with a rubber ring.,entailment,0,0,0,0,0,0
1398606571.jpg#2r4e,A young girl wearing a bikini in an innertube.,There is a young girl in an innertube.,entailment,0,0,0,0,0,0
140468532.jpg#0r1e,"A woman and three young girls, all wearing pink and purple coats, walk down the street.",There are people walking outdoors,entailment,0,0,0,0,0,0
1408677769.jpg#4r1e,A blond woman is reaching to complete a dig while playing beach volleyball.,The woman is playing volleyball with others.,entailment,0,0,0,0,0,0
1409784126.jpg#1r2e,Three women are sitting in front of computers while people stand in front of them with small papers.,Three women are using computers.,entailment,0,0,0,0,0,0
141140165.jpg#3r5e,Two little league players are next to a base in the field.,The little league players are near one of the bases.,entailment,0,0,0,0,0,0
1417068537.jpg#2r1e,"Man in black on microphone, in band.",A man sings in a band.,entailment,0,0,0,0,0,0
1432506301.jpg#1r1e,Five spectators are watching two cars racing at a racetrack.,Two cars race in front of a small crowd.,entailment,0,0,0,0,0,0
1433046578.jpg#4r5e,Man on stage playing his guitar.,The guitar is making music,entailment,0,0,0,0,0,0
1434155791.jpg#2r4e,"A man with three large, orange drums, jumping in the air.",The man has his feet off the ground.,entailment,0,0,0,0,0,0
1434155791.jpg#4r1e,A man is playing a large red drum.,A man is beating out a rhythm on a large red drum.,entailment,0,0,0,0,0,0
1436832881.jpg#4r1e,A red plane flying over a cruise ship.,A plane flies above.,entailment,0,0,0,0,0,0
1445123245.jpg#4r3e,A black and tan dog plays with a centipede toy.,A black and tan dog plays with a toy.,entailment,0,0,0,0,0,0
1448065625.jpg#3r3e,Woman balances a pie on her head and looks up into camera,A woman is posing for the camera with a pie on her head.,entailment,0,0,0,0,0,0
14526359.jpg#0r5e,A man dressed in a white shirt and black vest is playing an electric guitar.,One Person  is playing an electric guitar who is with white shirt and black vest.,entailment,0,0,0,0,0,0
1454841725.jpg#3r1e,Four young girls posing for the camera.,The girls are posing,entailment,0,0,0,0,0,0
145558685.jpg#4r1e,A woman puts the firewood in order.,A person works outdoors.,entailment,0,0,0,0,0,0
1456393634.jpg#0r4e,A child does a handstand on the sand at the beach.,a kid stands upside down,entailment,0,0,0,0,0,0
145645390.jpg#3r5e,A man is posing for a pic in a museum.,A tourist is getting their picture taken at an art showing.,entailment,0,0,0,0,0,0
1458395412.jpg#1r4e,An old man wearing gray sleeps in a small chair.,An old man taking a nap wearing clothes.,entailment,0,0,0,0,0,0
1460500597.jpg#0r1e,The man in the button up shirt is sitting at a table.,The man is indoors reading a book at the table.,entailment,0,0,0,0,0,0
1462927288.jpg#2r5e,A man playing a guitar on stage while a man plays drums in the background.,A man playing a guitar on stage with a drummer.,entailment,0,0,0,0,0,0
1468389504.jpg#3r1e,Two young girls on a playground.,There are two girls.,entailment,0,0,0,0,0,0
1470132731.jpg#1r1e,A black dog splashes through water.,A black dog is outside.,entailment,0,0,0,0,0,0
1474240647.jpg#1r1e,A man in a blue shirt is about to cross the street while a police car is driving by.,A man preparing to cross the street,entailment,0,0,0,0,0,0
1475046848.jpg#0r2e,A woman in blue shorts is carrying her shoes whilst walking on the beach next to the ocean.,A personn is walking by the ocean wearing blue shorts and carrying shoes.,entailment,0,0,0,0,0,0
148407193.jpg#4r1e,A woman painting a palace and the landscape.,A woman is painting a palace.,entailment,0,0,0,0,0,0
1484815652.jpg#0r3e,Four young women around a kitchen counter with a plate of brownies in the foreground.,There are four women.,entailment,0,0,0,0,0,0
149043687.jpg#1r4e,"An African American woman braiding another African American woman's hair, while sitting in a white chair.","Two women are in a room, one is standing and one is sitting.",entailment,0,0,0,0,0,0
149206827.jpg#3r2e,Two people in a large canoe surrounded by water.,There are people floating in a boat.,entailment,0,0,0,0,0,0
1493598687.jpg#1r3e,"A young man flips up a welders' mask as a young girl looks on, a six-pack, barbecue, and chalk message in the background.",A man in a welders mask is near a barbecue and little girl.,entailment,0,0,0,0,0,0
1496599281.jpg#2r1e,Man with sunglasses on sits at a table with drinks.,A man is at a table.,entailment,0,0,0,0,0,0
1499554025.jpg#1r1e,A group of females in white suits are in a petting zoo with two goats.,Some ladies in white are with the goats in a petting zoo.,entailment,0,0,0,0,0,0
150411291.jpg#1r1e,A man in a red jacket and a child with a mohawk dig with shovels at a park near the beach.,A man and a child dig a hole.,entailment,0,0,0,0,0,0
151215569.jpg#0r2e,A little girl in pink is holding up her pointer finger and pinkie finger in the air while holding her sunglasses in the other hand.,A girl in pink is rocking  the sign of the horns.,entailment,0,0,0,0,0,0
1517682494.jpg#0r5e,"A woman holding a pink balloon and wearing a fuzzy pink tiara, and a man with his head tilted slightly forward and smiling with his mouth wide open are standing next to one another.",A woman in pink and a man are standing near each other.,entailment,0,0,0,0,0,0
152027605.jpg#3r1e,four people sit at a desk reviewing several stacks of paperwork,Multiple people sit together at a desk.,entailment,0,0,0,0,0,0
154873964.jpg#0r3e,"Five men dressed as women in black fur coats and glasses, outside of a store on the street, all holding purses in their hands.",Five men are outside of a store,entailment,0,0,0,0,0,0
15558523.jpg#1r1e,"A man wearing a blue shirt, a blue hat, and an apron is standing outside the Candy Cafe on a sunny day.",A man is standing out in the sun.,entailment,0,0,0,0,0,0
1557838421.jpg#0r1e,A gray and white dog is biting the ear of a white and brown dog.,One dog is nibbling the ear of another dog.,entailment,0,0,0,0,0,0
15688683.jpg#3r2e,A woman gasps while opening a present.,The woman recieved a gift.,entailment,0,0,0,0,0,0
1569687608.jpg#1r1e,Two smiling little girls in a boat on a lake are hugging.,Two girls are hugging.,entailment,0,0,0,0,0,0
1577929305.jpg#0r2e,A group of Japanese men in bright red shirts play tug-of-war while an ethnically dressed Japanese man stands nearby and watches.,There are two men of Asian descent.,entailment,0,0,0,0,0,0
1580172290.jpg#3r1e,A baby and a young boy playing.,two people are playing,entailment,0,0,0,0,0,0
158898445.jpg#3r5e,An Asian man reading book and taking notes.,An asian man is reading while taking notes on the book inside.,entailment,0,0,0,0,0,0
1590016063.jpg#0r1e,A group of women walking through a highly decorated walkway.,Women are taveling by foot.,entailment,0,0,0,0,0,0
16151663.jpg#4r3e,2 women are standing in a street playing a blue guitar and a violin.,"While standing in the street, one woman is playing a blue guitar and the second woman is playing the violin.",entailment,0,0,0,0,0,0
1629595358.jpg#0r4e,A man and a woman speaking into a microphone are on a stage.,Two people on a stage.,entailment,0,0,0,0,0,0
1673433891.jpg#2r4e,A man prepares to drill a hole in a pumpkin.,A person is getting ready to use a drill.,entailment,0,0,0,0,0,0
1678396864.jpg#0r1e,An elderly woman in a black dress holds a black umbrella over a small boy in a red jacket and brown pants on a pier with a boat in the background.,The boy's pants are green.,entailment,0,0,0,0,0,0
1681253990.jpg#1r2e,A woman drawing a portrait on a white wall with trees in the background.,A woman is drawing a portrait outside.,entailment,0,0,0,0,0,0
1687886596.jpg#3r1e,A man weaves fibers together while seated on a stool,A person is weaving something.,entailment,0,0,0,0,0,0
1688699579.jpg#4r1e,two dogs run for a stick.,The dogs are running.,entailment,0,0,0,0,0,0
16933558.jpg#3r1e,Two high school boys attempt to do a French kiss.,two high school boys attempt kiss,entailment,0,0,0,0,0,0
1698995792.jpg#2r1e,People gathering for a reform movement that was to be hosted by chief reforms leader.,People are at a protest rally.,entailment,0,0,0,0,0,0
170007535.jpg#0r1n,A man and a woman in wedding clothes in back of a limo with others of a wedding party,they just got married,entailment,0,0,0,0,0,0
170947689.jpg#0r1e,Woman sitting in the grass under a tree overlooking a field of grass and holding a large pad of white paper.,A lady sitting in the grass holding a notepad.,entailment,0,0,0,0,0,0
1710765330.jpg#0r1e,Two women wearing medical scrubs sit side-by-side at a bus stop.,Doctors are outdoors.,entailment,0,0,0,0,0,0
171211612.jpg#4r3e,A man holding a camera underwater.,A man is using a camera.,entailment,1,1,0,1,1,0
172097783.jpg#4r1e,A surfer in blue shorts surfs over water.,The surfer in in the ocean.,entailment,0,0,0,0,0,0
172327171.jpg#4r1e,"A man with a guitar, with two people looking at bikes.",There are three people in this picture.,entailment,0,0,0,0,0,0
1733807750.jpg#0r4e,A woman with a walkie talkie and a bicycle helmet and bicycle standing near another woman in a black jacket.,a pair of women stand together near a bike,entailment,0,0,0,0,0,0
173742923.jpg#0r1e,A large group of people sit on concrete benches while two people walk along in front of it in blue jeans.,A crowd in public area.,entailment,0,0,0,0,0,0
173742923.jpg#0r2e,A large group of people sit on concrete benches while two people walk along in front of it in blue jeans.,people sit on benches,entailment,0,0,0,0,0,0
174385510.jpg#1r1e,"A man and a woman hugging, in front of a red sign.",two people are hugging by a sign,entailment,0,0,0,0,0,0
177302997.jpg#3r3e,A child sitting on a carousel horse.,The carousel is going round in circles.,entailment,0,0,0,0,0,0
1773928579.jpg#3r1e,A crowd is watching a dog climb up a staircase.,People watching a dog.,entailment,0,0,0,0,0,0
1796521614.jpg#4r5e,A man sells inflatable toys at an outdoor event.,Someone is outside.,entailment,0,0,0,0,0,0
1801663973.jpg#2r4e,A girl with bright red-hair and black clothes is posing on a tree trunk.,A girl poses on a tree trunk.,entailment,0,0,0,0,0,0
1818403842.jpg#0r4e,Two dogs are leaping into a swimming pool trying to fetch the yellow toy that is floating in the water.,Animals jump into water.,entailment,0,0,0,0,0,0
182503906.jpg#1r2e,A younger looking man stands behind the counter of an Israeli shop that sells cigarettes and cashews.,At an Israeli shop a man who is young looking stands behind a counter.,entailment,0,0,0,0,0,0
1869706826.jpg#0r1e,"A woman stands on a balcony wearing a knee length dress taking pictures, with vines that cover the large windows.",The woman stands on the balcony taking pictures.,entailment,0,0,0,0,0,0
1870425036.jpg#1r1e,"A perspiring, tattooed man plays a guitar.",a man is sweating.,entailment,0,0,0,0,0,0
1873655403.jpg#2r1e,Three male workers in bright jackets are working in a field with shovels.,There are people working.,entailment,0,0,0,0,0,0
1884727806.jpg#1r1e,A man and woman wearing Mickey Mouse ears stand in a crowd.,two people are in a crowd,entailment,0,0,0,0,0,0
1895768965.jpg#0r1e,A dog with one ear up runs outside through the fall leaves.,The dog runs in the leaves.,entailment,0,0,0,0,0,0
19023618.jpg#2r1e,A man in a green machine is cleaning a pump in front of the Drake hotel.,the man is working,entailment,1,1,0,1,1,0
1919433649.jpg#0r1e,A man in blue jeans and a red jacket strums his guitar with the city behind him.,THe man is a mucisian.,entailment,0,0,0,0,0,0
192618386.jpg#1r1e,Barefoot woman in a blue skirt hold hands with a child while other children play.,Children are playing.,entailment,0,0,0,0,0,0
193082928.jpg#1r4e,A Houston baseball player has caught a ball and is now throwing the ball towards another team member.,An athlete playing a professional sport.,entailment,0,0,0,0,0,0
1935334324.jpg#2r1e,A man in a floppy hat and bright yellow shorts is standing in mud.,The man is outside.,entailment,0,0,0,0,0,0
193596215.jpg#0r3e,"A man in a white shirt and black exercise shorts walks on a sidewalk, which is located behind a street under construction and in front of a two garage house.",A man is wearing a shirt.,entailment,0,0,0,0,0,0
193597277.jpg#1r1e,A man in a hat leans against a wall by Wendy's.,A man is outside a fast food restaurant.,entailment,0,0,0,0,0,0
194467990.jpg#0r3e,a man practicing his putting on a portable disc golf basket.,A disc golfer sets up a portable basket.,entailment,0,0,0,0,0,0
195038634.jpg#3r1e,A man singing while playing guitar with passion.,A man singing and playing the guitar.,entailment,0,0,0,0,0,0
195065912.jpg#3r2e,A teenage boy performs a stunt on his skateboard in a skate park.,The boy is a skateboarder.,entailment,0,0,0,0,0,0
197504190.jpg#0r1e,Two little boys are playing outside with their soccer ball on the green grass.,The boys are playing.,entailment,0,0,0,0,0,0
2003663004.jpg#3r1e,A football player pauses during a game.,A player is playing football.,entailment,0,0,0,0,0,0
202440477.jpg#2r1e,A group of children have fun in sack race.,The childrens are playing a sack race,entailment,0,0,0,0,0,0
2049051050.jpg#2r1e,A woman wearing a black hat sits on the sand with a rock behind her.,a woman sits on the sand in front of a rock,entailment,0,0,0,0,0,0
205038743.jpg#2r4e,A man with curly hair and glasses tries to tug a large rope on a boat to no avail.,The man has a head full of hair.,entailment,0,0,0,0,0,0
205371152.jpg#4r1e,Two girls are talking on a soccer field.,There are girls outdoors.,entailment,0,0,0,0,0,0
2057257734.jpg#1r1e,Two men are eager to enjoy a delicious turkey in a messy kitchen.,The men are ready to eat turkey in the messy kitchen.,entailment,0,0,0,0,0,0
2059616165.jpg#4r1e,A black dog.,A canine,entailment,0,0,0,0,0,0
2075893362.jpg#3r1e,An old man talks to a younger woman wearing a name tag.,two people interacting,entailment,0,0,0,0,0,0
2090339522.jpg#0r1e,a man wearing a green canvas hat with a distnat city in the background,A man is outside,entailment,0,0,0,0,0,0
2102842726.jpg#0r4e,"Outside asian festival with white words on red banners, a stage of judges behind a row of red flowers with lots of asian people standing by.",People mill around at an outdoor Asian festival where judges sit on a stage behind a row of red flowers.,entailment,0,0,0,0,0,0
2105320784.jpg#1r1e,"Pedestrians walk through the city, passing a restaurant.",people are walking,entailment,0,0,0,0,0,0
2107091533.jpg#4r1e,A man walks in the street.,A man walks the street,entailment,0,0,0,0,0,0
2111360187.jpg#0r1e,Three children standing by a pool are covered in foam bubbles.,children's in pool covered by foam bubbles,entailment,0,0,0,0,0,0
2115721452.jpg#3r1e,A fluffy white dog hanging out of a window.,The dog hangs out a window.,entailment,0,0,0,0,0,0
217108448.jpg#1r1e,"A blond child, wearing sandals, stands on a platform, looking through a viewing scope, in front of a red fence.",A blonde child in sandals stands in front of a red fence.,entailment,0,0,0,0,0,0
2171388397.jpg#1r1e,This young child is having fun on their first downhill sled ride.,A child on a sled.,entailment,0,0,0,0,0,0
2186361690.jpg#3r1e,A small boy in an orange hat running.,The small boy is wearing a hat,entailment,0,0,0,0,0,0
2196023570.jpg#4r1e,A man stands behind a wall on a busy city street.,The man is obsured from view outside.,entailment,0,0,0,0,0,0
2201050079.jpg#4r1e,A man in orange reaching down into a sewer.,The man is near the sewer.,entailment,0,0,0,0,0,0
2201734906.jpg#3r1e,A man and women waiting at a crosswalk,A man and women are waiting outside.,entailment,0,0,0,0,0,0
2204677106.jpg#3r1e,A man with his hand around a woman's throat.,Someone's hands are on a woman's throat.,entailment,0,0,0,0,0,0
2205328215.jpg#2r1e,A person on a bike coming down off a wooded hill.,A person is riding a bike outside.,entailment,0,0,0,0,0,0
2212794589.jpg#3r1e,A man is posing for a picture surrounded by cliffs after climbing a mountain.,The man just climbed a mountain.,entailment,0,0,0,0,0,0
2217244400.jpg#1r1e,A person in black pants and blue jacket holding a umbrella in front of cars in a flood,There is a flood.,entailment,0,0,0,0,0,0
221973402.jpg#2r1e,A dog with a Frisbee in its mouth chasing a boy in a field.,There is a boy outside.,entailment,0,0,0,0,0,0
2223382277.jpg#3r1e,A boy in a red uniform plays hockey outside.,A boy is playing hockey.,entailment,0,0,0,0,0,0
2225385013.jpg#1r1e,Two children acting out a scene in a play.,two kids act together,entailment,0,0,0,0,0,0
2228156682.jpg#0r1e,Woman tennis player wearing a light blue tennis outfit winds up to hit the tennis ball as the crowd watches.,An audience is watching a woman play a sport.,entailment,0,0,0,0,0,0
223761052.jpg#1r1e,Two men in a garage are fixing the engine of a car.,Two men are fixing a car.,entailment,0,0,0,0,0,0
224152690.jpg#3r1e,A group of people are outside a brick building.,a child is standing,entailment,0,0,0,0,0,0
2244594614.jpg#0r1e,A little girl wearing a pink swimsuit and cap is laying by the edge of the water at the ocean.,A little girl in a pink swimsuit lays near the ocean.,entailment,0,0,0,0,0,0
2249034258.jpg#0r2e,A woman talking on a cellphone and a man with a mustache emerge up the stairs from an underground subway.,A man and woman are exiting a subway.,entailment,0,0,0,0,0,0
2252311564.jpg#1r1e,A woman is seen reading through a subway window.,a woman can been seen through a window,entailment,0,0,0,0,0,0
2259203920.jpg#3r1e,A fox terrier leaps after a ball.,A dog leaps after a ball.,entailment,0,0,0,0,0,0
2271099293.jpg#4r1e,A man performing saxophone on the street.,This man is playing his instrument for entertainment.,entailment,0,0,0,0,0,0
22764427.jpg#1r3e,"Three News personal interviewing a couple of senior citizens, while another person looks on.",three people interview a couple of senior citizens while another person watches,entailment,0,0,0,0,0,0
2282600972.jpg#2r1e,Two skiers stand near a snowy mountain.,Some humans standing.,entailment,0,1,1,0,1,1
2286032269.jpg#3r1e,A boy is surfing in the ocean.,A boy surfing in sea,entailment,0,0,0,0,0,0
2286062045.jpg#3r1e,A woman laying her head down on a pillow.,a woman laying down,entailment,0,0,0,0,0,0
2289212650.jpg#1r1e,Two dogs playing with a stick in shallow water.,There are animals in the water.,entailment,0,0,0,0,0,0
2290122740.jpg#3r1e,A man is leaping from the ground while another man is looking at him.,A man is jumping while another man watches.,entailment,0,0,0,0,0,0
229862312.jpg#0r1e,A brown puppy is laying on its back in the grass.,A puppy is outside.,entailment,0,0,0,0,0,0
23022402.jpg#0r1e,"A graveyard worker is digging, or filling a grave, another person is on his cellphone, leaning on a tombstone.",We see workers in the graveyard.,entailment,0,0,0,0,0,0
2307661164.jpg#0r1e,"Two boys are riding on a toy, with a girl running along side of them.",The children are playing.,entailment,0,0,0,0,0,0
2319954644.jpg#0r1e,A man wearing black sits in the snow playing buckets as drums in order to collect donations.,a person is collecting donations in the snow,entailment,0,0,0,0,0,0
2321773207.jpg#4r1e,A man is sitting on a bench at a subway station.,The man is at a subway station.,entailment,0,0,0,0,0,0
2325808609.jpg#3r1e,Nine men are laying on their back in a pool.,Men are looking at the sky.,entailment,0,0,0,0,0,0
2326666568.jpg#3r1e,"Family of seven, walking along a sandy beach at sunset.",A group of people are on the beach.,entailment,0,0,0,0,0,0
2331539171.jpg#1r1e,There are two men in yellow vests working in a large green filed.,Two men are wearing vests,entailment,0,0,0,0,0,0
2354007039.jpg#4r1e,This lady is singing in a club.,This lady is singing inside,entailment,0,0,0,0,0,0
2358600155.jpg#3r1e,Young dark-haired girl staring at the camera.,A young girl looking at the camera.,entailment,0,0,0,0,0,0
2366296895.jpg#3r1e,A man in a suit sits talking into a microphone.,A well-dressed man is saying words into a microphone.,entailment,0,0,0,0,0,0
2374523052.jpg#1r1e,A guy with curly hair is skateboarding along a gray ramp with yellow letters.,a curly haired person is skateboarding,entailment,0,0,0,0,0,0
2383814994.jpg#0r1e,A young woman with blue jeans and a black tank top is walking down the sidewalk screaming and clutching her chest.,The woman is outside.,entailment,0,0,0,0,0,0
2393747608.jpg#2r1e,A man hugging a young boy in a blue shirt.,Two people are hugging,entailment,0,0,0,0,0,0
2397903687.jpg#3r1e,A man in black coat and gray pants are walking along a quiet street.,A man in a coat and pants is outdoors walking.,entailment,0,0,0,0,0,0
240101066.jpg#3r1e,Three people are setting up chairs on the beach.,A group of people are at the beach.,entailment,0,0,0,0,0,0
2405978603.jpg#1r1e,A brown and white dog running through water towards a toy.,The dogs are in the water.,entailment,0,0,0,0,0,0
241545422.jpg#1r1e,"A brown-haired lady in a red shirt and black pants standing, looking around.",The brunette lady was sharply dressed looking for her date.,entailment,0,0,0,0,0,0
2416193212.jpg#1r1e,A woman with a backpack walking past a purple wall.,The woman is wearing a backpack.,entailment,0,0,0,0,0,0
24188477.jpg#3r1e,A worker with an orange vest working on a road.,Worker in orange vest working on the road.,entailment,0,0,0,0,0,0
2420457108.jpg#3r1e,A female Texas A&M tennis player dribbling the tennis ball.,A woman from TA&M has a tennis ball.,entailment,0,0,0,0,0,0
