ID,prompt,model,repeat,status,error,premise,hypothesis,raw_KB,lemmatized_KB,changed_argument_occurrences,unchanged_argument_occurrences,absent_argument_occurrences,ambiguous_argument_occurrences,empty_argument_occurrences,mapping_details_json
1495,lasha,anthropic/claude-haiku-4.5,1,valid,,A man is playing a guitar,A man is strumming a guitar,"isa_wn(play, strum)","[[""play"",""strum""]]",0,0,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""play"",""lemma"":""play"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""strum"",""lemma"":""strum"",""decision"":""absent"",""POS_evidence"":[]}]"
1497,lasha,anthropic/claude-haiku-4.5,1,valid,,A man is strumming a guitar,A man is playing guitar,"isa_wn(strum, play)","[[""strum"",""play""]]",0,0,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""strum"",""lemma"":""strum"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""play"",""lemma"":""play"",""decision"":""absent"",""POS_evidence"":[]}]"
1584,lasha,anthropic/claude-haiku-4.5,1,valid,,A hole is being burrowed by the badger,A badger is shrewdly digging the earth,"isa_wn(burrow, dig); isa_wn(hole, earth)","[[""burrow"",""dig""],[""hole"",""earth""]]",0,2,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""burrow"",""lemma"":""burrow"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""dig"",""lemma"":""dig"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":1,""argument"":""hole"",""lemma"":""hole"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""hole"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""earth"",""lemma"":""earth"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""earth"",""pos_tags"":[""NN""]}]}]"
158827073.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,Young girl playing with chocolate milk powder.,There is a girl playing with food,"isa_wn(chocolate milk powder, food)","[[""chocolate milk powder"",""food""]]",0,2,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""chocolate milk powder"",""lemma"":""chocolate milk powder"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""chocolate milk powder"",""pos_tags"":[""NN"",""NN"",""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""food"",""lemma"":""food"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""food"",""pos_tags"":[""NN""]}]}]"
1792,lasha,anthropic/claude-haiku-4.5,1,valid,,A lion is slowly walking,A lion is slowly moving around,"isa_wn(walk, move around)","[[""walk"",""move around""]]",0,0,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""walk"",""lemma"":""walk"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""move around"",""lemma"":""move around"",""decision"":""absent"",""POS_evidence"":[]}]"
1796608106.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,A woman building herself a sand castle.,a women is making a sand castle,"isa_wn(build, make)","[[""build"",""make""]]",0,0,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""build"",""lemma"":""build"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""make"",""lemma"":""make"",""decision"":""absent"",""POS_evidence"":[]}]"
2021602343.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,A boy with a basketballs glowers at the camera.,The boy scowls,"isa_wn(glower, scowl)","[[""glower"",""scowl""]]",0,0,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""glower"",""lemma"":""glower"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""scowl"",""lemma"":""scowl"",""decision"":""absent"",""POS_evidence"":[]}]"
207584893.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,Hang glider on beach,air sport on beach,"isa_wn(hang glider, air sport)","[[""hang glider"",""air sport""]]",0,2,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""hang glider"",""lemma"":""hang glider"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""Hang glider"",""pos_tags"":[""NNP"",""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""air sport"",""lemma"":""air sport"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""air sport"",""pos_tags"":[""NN"",""NN""]}]}]"
2079152458.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,non_entailment,,"A golden-colored dog, with his eyes alert, holds a brightly colored tennis ball in his mouth.",The dog is light colored,NO_RELATION,,0,0,0,0,0,
2095711097.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,Construction masons at work laying concrete blocks on a multistory building.,Concrete work is being done on a multistory building,"isa_wn(construction mason, concrete work); isa_wn(lay, do)","[[""construction mason"",""concrete work""],[""lay"",""do""]]",0,1,3,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""construction mason"",""lemma"":""construction mason"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""concrete work"",""lemma"":""concrete work"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""Concrete work"",""pos_tags"":[""NNP"",""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""lay"",""lemma"":""lay"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":2,""argument"":""do"",""lemma"":""do"",""decision"":""absent"",""POS_evidence"":[]}]"
2109479807.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,Four females wearing helments are riding on an ATV.,Four women are driving an all terrain vehicle.,"isa_wn(female, woman); isa_wn(ride, drive); isa_wn(ATV, all terrain vehicle)","[[""atv"",""all terrain vehicle""],[""female"",""woman""],[""ride"",""drive""]]",0,2,4,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""atv"",""lemma"":""atv"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""ATV"",""pos_tags"":[""NNP""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""all terrain vehicle"",""lemma"":""all terrain vehicle"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""all terrain vehicle"",""pos_tags"":[""DT"",""NN"",""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""female"",""lemma"":""female"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":2,""argument"":""woman"",""lemma"":""woman"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":3,""argument_index"":1,""argument"":""ride"",""lemma"":""ride"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":3,""argument_index"":2,""argument"":""drive"",""lemma"":""drive"",""decision"":""absent"",""POS_evidence"":[]}]"
211,lasha,anthropic/claude-haiku-4.5,1,valid,,Two dogs are playing by a tree,Two dogs are playing by a plant,"isa_wn(tree, plant)","[[""tree"",""plant""]]",0,2,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""tree"",""lemma"":""tree"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""tree"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""plant"",""lemma"":""plant"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""plant"",""pos_tags"":[""NN""]}]}]"
2137789511.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,A person rides his bicycle in the sand beside the ocean.,A person is on a beach.,"isa_wn(sand beside ocean, beach)","[[""sand beside ocean"",""beach""]]",0,1,1,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""sand beside ocean"",""lemma"":""sand beside ocean"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""beach"",""lemma"":""beach"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""beach"",""pos_tags"":[""NN""]}]}]"
2195887578.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,"Two men in suits standing in front of a bus, one is wearing a medal.",Two men are standing in front of a large vehicle.,"isa_wn(bus, large vehicle)","[[""bus"",""large vehicle""]]",0,2,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""bus"",""lemma"":""bus"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""bus"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""large vehicle"",""lemma"":""large vehicle"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""large vehicle"",""pos_tags"":[""JJ"",""NN""]}]}]"
2201978994.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,Two kids in winter clothing play near a lakefront.,kids playing near a lake,"isa_wn(winter clothing, clothing); isa_wn(lakefront, lake)","[[""lakefront"",""lake""],[""winter clothing"",""clothing""]]",0,4,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""lakefront"",""lemma"":""lakefront"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""lakefront"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""lake"",""lemma"":""lake"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""lake"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""winter clothing"",""lemma"":""winter clothing"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""winter clothing"",""pos_tags"":[""NN"",""NN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""clothing"",""lemma"":""clothing"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""clothing"",""pos_tags"":[""NN""]}]}]"
2208055895.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,Child inside of large snow fort.,A child within a snowy structure.,"isa_wn(snow fort, snowy structure); isa_wn(inside, within)","[[""inside"",""within""],[""snow fort"",""snowy structure""]]",0,4,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""inside"",""lemma"":""inside"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""inside"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""within"",""lemma"":""within"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""within"",""pos_tags"":[""IN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""snow fort"",""lemma"":""snow fort"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""snow fort"",""pos_tags"":[""JJ"",""NN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""snowy structure"",""lemma"":""snowy structure"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""snowy structure"",""pos_tags"":[""JJ"",""NN""]}]}]"
2217728745.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,A man in a bar.,A guy in a bar.,"isa_wn(man, guy)","[[""man"",""guy""]]",0,2,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""man"",""lemma"":""man"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""man"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""guy"",""lemma"":""guy"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""guy"",""pos_tags"":[""NN""]}]}]"
2218743570.jpg#4r1n,lasha,anthropic/claude-haiku-4.5,1,non_entailment,,A husky and a black cat nuzzling.,A dog and cat are friendly.,NO_RELATION,,0,0,0,0,0,
2232255534.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car.,a man in jogging pants checks his device,"isa_wn(young man, man); isa_wn(jogging slack, jogging pant); isa_wn(mobile devise, device)","[[""jogging slack"",""jogging pant""],[""mobile devise"",""device""],[""young man"",""man""]]",0,4,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""jogging slack"",""lemma"":""jogging slack"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""jogging pant"",""lemma"":""jogging pant"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":1,""argument"":""mobile devise"",""lemma"":""mobile devise"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""mobile devise"",""pos_tags"":[""JJ"",""NN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""device"",""lemma"":""device"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""device"",""pos_tags"":[""NN""]}]},{""relation_index"":3,""argument_index"":1,""argument"":""young man"",""lemma"":""young man"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""young man"",""pos_tags"":[""JJ"",""NN""]}]},{""relation_index"":3,""argument_index"":2,""argument"":""man"",""lemma"":""man"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""man"",""pos_tags"":[""NN""]},{""sentence"":""hypothesis"",""span"":""man"",""pos_tags"":[""NN""]}]}]"
2237364221.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,A man tries to get himself into shape on a treadmill.,A man exercising.,"isa_wn(get into shape, exercise)","[[""get into shape"",""exercise""]]",0,0,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""get into shape"",""lemma"":""get into shape"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""exercise"",""lemma"":""exercise"",""decision"":""absent"",""POS_evidence"":[]}]"
2255375425.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,A man is sitting in on the side of the street with brass pots.,A man is sitting.,NO_RELATION,[],0,0,0,0,0,[]
2275372714.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,The kids watched as the soda bottle launched into the air.,There is a soda bottle flying.,"isa_wn(launch, fly)","[[""launch"",""fly""]]",0,0,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""launch"",""lemma"":""launch"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""fly"",""lemma"":""fly"",""decision"":""absent"",""POS_evidence"":[]}]"
2276230068.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,A baby with star shades on.,A baby wearing glasses.,"isa_wn(star shade, glass)","[[""star shade"",""glass""]]",0,0,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""star shade"",""lemma"":""star shade"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""glass"",""lemma"":""glass"",""decision"":""absent"",""POS_evidence"":[]}]"
2279906281.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,A shirtless man is being filmed in the middle of a soccer field.,A topless male is being recorded on a sports field.,"isa_wn(shirtless, topless); isa_wn(filmed, recorded); isa_wn(soccer field, sports field); isa_wn(man, male)","[[""film"",""record""],[""man"",""male""],[""shirtless"",""topless""],[""soccer field"",""sport field""]]",3,5,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""filmed"",""lemma"":""film"",""decision"":""changed"",""POS_evidence"":[{""sentence"":""premise"",""span"":""filmed"",""pos_tags"":[""VBN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""recorded"",""lemma"":""record"",""decision"":""changed"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""recorded"",""pos_tags"":[""VBN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""man"",""lemma"":""man"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""man"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""male"",""lemma"":""male"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""male"",""pos_tags"":[""NN""]}]},{""relation_index"":3,""argument_index"":1,""argument"":""shirtless"",""lemma"":""shirtless"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""shirtless"",""pos_tags"":[""NN""]}]},{""relation_index"":3,""argument_index"":2,""argument"":""topless"",""lemma"":""topless"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""topless"",""pos_tags"":[""JJ""]}]},{""relation_index"":4,""argument_index"":1,""argument"":""soccer field"",""lemma"":""soccer field"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""soccer field"",""pos_tags"":[""NN"",""NN""]}]},{""relation_index"":4,""argument_index"":2,""argument"":""sports field"",""lemma"":""sport field"",""decision"":""changed"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""sports field"",""pos_tags"":[""NNS"",""NN""]}]}]"
2281,lasha,anthropic/claude-haiku-4.5,1,non_entailment,,A dog is opening a can of food,A dog is biting a can,NO_RELATION,,0,0,0,0,0,
228280436.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,A group of people are buying fruits and vegetables from a stand located in a street market.,The stand selling produce is in a street market.,"isa_wn(fruit and vegetable, produce)","[[""fruit and vegetable"",""produce""]]",0,1,1,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""fruit and vegetable"",""lemma"":""fruit and vegetable"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""produce"",""lemma"":""produce"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""produce"",""pos_tags"":[""NN""]}]}]"
23012662.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,valid,,Blond tennis player pauses to view the crowd.,A tennis player is looking at the crowd.,"isa_wn(view, look at)","[[""view"",""look at""]]",0,1,1,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""view"",""lemma"":""view"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""view"",""pos_tags"":[""VB""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""look at"",""lemma"":""look at"",""decision"":""absent"",""POS_evidence"":[]}]"
