ID,prompt,model,repeat,relation_index,argument_index,status,argument,lemma,decision,POS_evidence_json,premise,hypothesis
2195887578.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,bus,bus,unchanged,"[{""sentence"":""premise"",""span"":""bus"",""pos_tags"":[""NN""]}]","Two men in suits standing in front of a bus, one is wearing a medal.",Two men are standing in front of a large vehicle.
2195887578.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,large vehicle,large vehicle,unchanged,"[{""sentence"":""hypothesis"",""span"":""large vehicle"",""pos_tags"":[""JJ"",""NN""]}]","Two men in suits standing in front of a bus, one is wearing a medal.",Two men are standing in front of a large vehicle.
2201978994.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,lakefront,lakefront,unchanged,"[{""sentence"":""premise"",""span"":""lakefront"",""pos_tags"":[""NN""]}]",Two kids in winter clothing play near a lakefront.,kids playing near a lake
2201978994.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,lake,lake,unchanged,"[{""sentence"":""hypothesis"",""span"":""lake"",""pos_tags"":[""NN""]}]",Two kids in winter clothing play near a lakefront.,kids playing near a lake
2201978994.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,winter clothing,winter clothing,unchanged,"[{""sentence"":""premise"",""span"":""winter clothing"",""pos_tags"":[""NN"",""NN""]}]",Two kids in winter clothing play near a lakefront.,kids playing near a lake
2201978994.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,clothing,clothing,unchanged,"[{""sentence"":""premise"",""span"":""clothing"",""pos_tags"":[""NN""]}]",Two kids in winter clothing play near a lakefront.,kids playing near a lake
2208055895.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,inside,inside,unchanged,"[{""sentence"":""premise"",""span"":""inside"",""pos_tags"":[""NN""]}]",Child inside of large snow fort.,A child within a snowy structure.
2208055895.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,within,within,unchanged,"[{""sentence"":""hypothesis"",""span"":""within"",""pos_tags"":[""IN""]}]",Child inside of large snow fort.,A child within a snowy structure.
2208055895.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,snow fort,snow fort,unchanged,"[{""sentence"":""premise"",""span"":""snow fort"",""pos_tags"":[""JJ"",""NN""]}]",Child inside of large snow fort.,A child within a snowy structure.
2208055895.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,snowy structure,snowy structure,unchanged,"[{""sentence"":""hypothesis"",""span"":""snowy structure"",""pos_tags"":[""JJ"",""NN""]}]",Child inside of large snow fort.,A child within a snowy structure.
2217728745.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,man,man,unchanged,"[{""sentence"":""premise"",""span"":""man"",""pos_tags"":[""NN""]}]",A man in a bar.,A guy in a bar.
2217728745.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,guy,guy,unchanged,"[{""sentence"":""hypothesis"",""span"":""guy"",""pos_tags"":[""NN""]}]",A man in a bar.,A guy in a bar.
2232255534.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,jogging slack,jogging slack,absent,[],A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car.,a man in jogging pants checks his device
2232255534.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,jogging pant,jogging pant,absent,[],A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car.,a man in jogging pants checks his device
2232255534.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,mobile devise,mobile devise,unchanged,"[{""sentence"":""premise"",""span"":""mobile devise"",""pos_tags"":[""JJ"",""NN""]}]",A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car.,a man in jogging pants checks his device
2232255534.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,device,device,unchanged,"[{""sentence"":""hypothesis"",""span"":""device"",""pos_tags"":[""NN""]}]",A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car.,a man in jogging pants checks his device
2232255534.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,3,1,valid,young man,young man,unchanged,"[{""sentence"":""premise"",""span"":""young man"",""pos_tags"":[""JJ"",""NN""]}]",A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car.,a man in jogging pants checks his device
2232255534.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,3,2,valid,man,man,unchanged,"[{""sentence"":""premise"",""span"":""man"",""pos_tags"":[""NN""]},{""sentence"":""hypothesis"",""span"":""man"",""pos_tags"":[""NN""]}]",A young man in jogging slacks is checking information on his mobile devise while listening to something on a crowded commuter rail car.,a man in jogging pants checks his device
2237364221.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,get into shape,get into shape,absent,[],A man tries to get himself into shape on a treadmill.,A man exercising.
2237364221.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,exercise,exercise,absent,[],A man tries to get himself into shape on a treadmill.,A man exercising.
2275372714.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,launch,launch,absent,[],The kids watched as the soda bottle launched into the air.,There is a soda bottle flying.
2275372714.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,fly,fly,absent,[],The kids watched as the soda bottle launched into the air.,There is a soda bottle flying.
2276230068.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,star shade,star shade,absent,[],A baby with star shades on.,A baby wearing glasses.
2276230068.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,glass,glass,absent,[],A baby with star shades on.,A baby wearing glasses.
2279906281.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,filmed,film,changed,"[{""sentence"":""premise"",""span"":""filmed"",""pos_tags"":[""VBN""]}]",A shirtless man is being filmed in the middle of a soccer field.,A topless male is being recorded on a sports field.
2279906281.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,recorded,record,changed,"[{""sentence"":""hypothesis"",""span"":""recorded"",""pos_tags"":[""VBN""]}]",A shirtless man is being filmed in the middle of a soccer field.,A topless male is being recorded on a sports field.
2279906281.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,man,man,unchanged,"[{""sentence"":""premise"",""span"":""man"",""pos_tags"":[""NN""]}]",A shirtless man is being filmed in the middle of a soccer field.,A topless male is being recorded on a sports field.
2279906281.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,male,male,unchanged,"[{""sentence"":""hypothesis"",""span"":""male"",""pos_tags"":[""NN""]}]",A shirtless man is being filmed in the middle of a soccer field.,A topless male is being recorded on a sports field.
2279906281.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,3,1,valid,shirtless,shirtless,unchanged,"[{""sentence"":""premise"",""span"":""shirtless"",""pos_tags"":[""NN""]}]",A shirtless man is being filmed in the middle of a soccer field.,A topless male is being recorded on a sports field.
2279906281.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,3,2,valid,topless,topless,unchanged,"[{""sentence"":""hypothesis"",""span"":""topless"",""pos_tags"":[""JJ""]}]",A shirtless man is being filmed in the middle of a soccer field.,A topless male is being recorded on a sports field.
2279906281.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,4,1,valid,soccer field,soccer field,unchanged,"[{""sentence"":""premise"",""span"":""soccer field"",""pos_tags"":[""NN"",""NN""]}]",A shirtless man is being filmed in the middle of a soccer field.,A topless male is being recorded on a sports field.
2279906281.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,4,2,valid,sports field,sport field,changed,"[{""sentence"":""hypothesis"",""span"":""sports field"",""pos_tags"":[""NNS"",""NN""]}]",A shirtless man is being filmed in the middle of a soccer field.,A topless male is being recorded on a sports field.
228280436.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,fruit and vegetable,fruit and vegetable,absent,[],A group of people are buying fruits and vegetables from a stand located in a street market.,The stand selling produce is in a street market.
228280436.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,produce,produce,unchanged,"[{""sentence"":""hypothesis"",""span"":""produce"",""pos_tags"":[""NN""]}]",A group of people are buying fruits and vegetables from a stand located in a street market.,The stand selling produce is in a street market.
23012662.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,view,view,unchanged,"[{""sentence"":""premise"",""span"":""view"",""pos_tags"":[""VB""]}]",Blond tennis player pauses to view the crowd.,A tennis player is looking at the crowd.
23012662.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,look at,look at,absent,[],Blond tennis player pauses to view the crowd.,A tennis player is looking at the crowd.
2343145630.jpg#0r4e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,bassist,bassist,unchanged,"[{""sentence"":""premise"",""span"":""bassist"",""pos_tags"":[""NN""]}]","A black singer with short, spiked hair plays guitar and sings, while a bassist plays behind him.",A person with pointy hair is singing while another person playing an instrument is in back of him.
2343145630.jpg#0r4e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,person playing instrument,person playing instrument,absent,[],"A black singer with short, spiked hair plays guitar and sings, while a bassist plays behind him.",A person with pointy hair is singing while another person playing an instrument is in back of him.
2343145630.jpg#0r4e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,singer,singer,unchanged,"[{""sentence"":""premise"",""span"":""singer"",""pos_tags"":[""NN""]}]","A black singer with short, spiked hair plays guitar and sings, while a bassist plays behind him.",A person with pointy hair is singing while another person playing an instrument is in back of him.
2343145630.jpg#0r4e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,person,person,unchanged,"[{""sentence"":""hypothesis"",""span"":""person"",""pos_tags"":[""NN""]},{""sentence"":""hypothesis"",""span"":""person"",""pos_tags"":[""NN""]}]","A black singer with short, spiked hair plays guitar and sings, while a bassist plays behind him.",A person with pointy hair is singing while another person playing an instrument is in back of him.
2343145630.jpg#0r4e,lasha,anthropic/claude-haiku-4.5,1,3,1,valid,spiked hair,spiked hair,unchanged,"[{""sentence"":""premise"",""span"":""spiked hair"",""pos_tags"":[""JJ"",""NN""]}]","A black singer with short, spiked hair plays guitar and sings, while a bassist plays behind him.",A person with pointy hair is singing while another person playing an instrument is in back of him.
2343145630.jpg#0r4e,lasha,anthropic/claude-haiku-4.5,1,3,2,valid,pointy hair,pointy hair,unchanged,"[{""sentence"":""hypothesis"",""span"":""pointy hair"",""pos_tags"":[""JJ"",""NN""]}]","A black singer with short, spiked hair plays guitar and sings, while a bassist plays behind him.",A person with pointy hair is singing while another person playing an instrument is in back of him.
2367387854.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,microphone,microphone,unchanged,"[{""sentence"":""premise"",""span"":""microphone"",""pos_tags"":[""NN""]}]","A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A woman is speaking into a device.
2367387854.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,device,device,unchanged,"[{""sentence"":""hypothesis"",""span"":""device"",""pos_tags"":[""NN""]}]","A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A woman is speaking into a device.
2367387854.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,talk,talk,absent,[],"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A woman is speaking into a device.
2367387854.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,speak,speak,absent,[],"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A woman is speaking into a device.
2405,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,lady,lady,unchanged,"[{""sentence"":""premise"",""span"":""lady"",""pos_tags"":[""NN""]}]",The lady is slicing a tomato,Someone is cutting a tomato
2405,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,someone,someone,unchanged,"[{""sentence"":""hypothesis"",""span"":""Someone"",""pos_tags"":[""NN""]}]",The lady is slicing a tomato,Someone is cutting a tomato
2405,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,slice,slice,absent,[],The lady is slicing a tomato,Someone is cutting a tomato
2405,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,cut,cut,absent,[],The lady is slicing a tomato,Someone is cutting a tomato
241345721.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,football,football,unchanged,"[{""sentence"":""premise"",""span"":""football"",""pos_tags"":[""NN""]}]",Men playing football.,Some men are playing a game.
241345721.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,game,game,unchanged,"[{""sentence"":""hypothesis"",""span"":""game"",""pos_tags"":[""NN""]}]",Men playing football.,Some men are playing a game.
241346508.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,oklahoma sooner,oklahoma sooner,absent,[],"Three Oklahoma Sooners playing football against another team, one of the sooners with the ball in their possession.",College football players are playing a football game.
241346508.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,college football player,college football player,absent,[],"Three Oklahoma Sooners playing football against another team, one of the sooners with the ball in their possession.",College football players are playing a football game.
241346508.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,play football against,play football against,absent,[],"Three Oklahoma Sooners playing football against another team, one of the sooners with the ball in their possession.",College football players are playing a football game.
241346508.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,play football game,play football game,absent,[],"Three Oklahoma Sooners playing football against another team, one of the sooners with the ball in their possession.",College football players are playing a football game.
2421824693.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,looking at,look at,changed,"[{""sentence"":""premise"",""span"":""looking at"",""pos_tags"":[""VBG"",""IN""]}]",A man is standing on a rooftop looking at his camera.,A man is on the roof with a camera.
2421824693.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,with,with,unchanged,"[{""sentence"":""hypothesis"",""span"":""with"",""pos_tags"":[""IN""]}]",A man is standing on a rooftop looking at his camera.,A man is on the roof with a camera.
2421824693.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,2,1,valid,rooftop,rooftop,unchanged,"[{""sentence"":""premise"",""span"":""rooftop"",""pos_tags"":[""NN""]}]",A man is standing on a rooftop looking at his camera.,A man is on the roof with a camera.
2421824693.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,2,2,valid,roof,roof,unchanged,"[{""sentence"":""hypothesis"",""span"":""roof"",""pos_tags"":[""NN""]}]",A man is standing on a rooftop looking at his camera.,A man is on the roof with a camera.
2518094853.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,1,valid,field,field,unchanged,"[{""sentence"":""premise"",""span"":""field"",""pos_tags"":[""NN""]}]",A brown dog runs through a field.,A brown dog running outside.
2518094853.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,1,1,2,valid,outside,outside,unchanged,"[{""sentence"":""hypothesis"",""span"":""outside"",""pos_tags"":[""JJ""]}]",A brown dog runs through a field.,A brown dog running outside.
